title,company,address,salery,date,salary_min,salary_max,provence,city,area
高级测试工程师,浙江银泰百货有限公司,杭州-下城区,2-2.5万/月,05-05,20000.0,25000.0,浙江省,杭州,下城区
地理信息开发工程师,江苏铨铨信息科技有限公司,南京-江宁区,0.5-1.5万/月,05-05,5000.0,15000.0,江苏省,南京,江宁区
软件工程师,辽宁垠艺生物科技股份有限公司,大连-金州区,3-5千/月,05-05,3000.0,5000.0,辽宁省,大连,金州区
算法工程师,上海恺士佳信息科技有限公司,上海-黄浦区,2-4万/月,05-05,20000.0,40000.0,上海市,上海,黄浦区
Java开发工程师,广州奥诚信息技术有限公司,广州,0.8-1万/月,05-05,8000.0,10000.0,广东省,广州,
高级爬虫工程师,天津货比三价科技有限公司,天津-河北区,1.5-2万/月,05-05,15000.0,20000.0,天津市,天津,河北区
高级研发经理,上海数珩信息科技有限公司,上海-普陀区,20-30万/年,05-04,16666.0,25000.0,上海市,上海,普陀区
服务器架构工程师,北京科鑫互娱网络科技有限公司,北京-朝阳区,2.5-3万/月,05-04,25000.0,30000.0,北京市,北京,朝阳区
人工智能工程师,安徽迪科数金科技有限公司,合肥,15-25万/年,05-04,12500.0,20833.0,安徽省,合肥,
资深NLP算法工程师,南京晗坤信息科技有限公司,南京-栖霞区,4-5万/月,05-04,40000.0,50000.0,江苏省,南京,栖霞区
教学主管/乐博乐博机器人教育,宁波思考乐教育科技有限公司,宁波-北仑区,1-1.5万/月,05-04,10000.0,15000.0,浙江省,宁波,北仑区
软件工程师,苏州埃顿电力科技有限公司,苏州-高新区,1.5-2.5万/月,05-04,15000.0,25000.0,江苏省,苏州,高新区
大数据后端工程师,北京经纬恒润科技有限公司,上海,15-30万/年,05-04,12500.0,25000.0,上海市,上海,
IC后端工程师,上海矽昌微电子有限公司,南京-雨花台区,0.8-1万/月,05-04,8000.0,10000.0,江苏省,南京,雨花台区
C++高级开发工程师,深圳市华创时代科技有限公司,深圳-龙华新区,1.5-3万/月,05-04,15000.0,30000.0,广东省,深圳,龙华新区
高级股票量化分析师,上海泓信投资管理有限公司,上海,2-2.5万/月,05-04,20000.0,25000.0,上海市,上海,
游戏运营数据分析,博识峰云（深圳）信息技术有限公司...,深圳-福田区,0.8-1万/月,05-04,8000.0,10000.0,广东省,深圳,福田区
管理培训生,南京鼎融信息技术有限公司,南京-建邺区,0.8-1.5万/月,05-04,8000.0,15000.0,江苏省,南京,建邺区
技术管培生-2020春招,东方财富信息股份有限公司,上海-徐汇区,1.5-2万/月,05-04,15000.0,20000.0,上海市,上海,徐汇区
量化投资经理,开源证券股份有限公司,北京-丰台区,2.5-3.3万/月,05-04,25000.0,33000.0,北京市,北京,丰台区
