title,company,address,salery,date,salary_min,salary_max,provence,city,area
C++开发工程师,浙江汇信科技有限公司,杭州-拱墅区,1-1.5万/月,06-19,10000.0,15000.0,浙江省,杭州,拱墅区
平台/产品研发经理,海南君莱药业有限公司,广州,1.2-2万/月,06-19,12000.0,20000.0,广东省,广州,
系统架构师,海南君莱药业有限公司,广州,1.8-3万/月,06-19,18000.0,30000.0,广东省,广州,
分布式边缘专家,上海电气集团数字科技有限公司,上海-徐汇区,40-80万/年,06-19,33333.0,66666.0,上海市,上海,徐汇区
边缘计算专家,上海电气集团数字科技有限公司,上海,20-40万/年,06-19,16666.0,33333.0,上海市,上海,
搜狗地图-服务端测试开发,北京搜狗科技发展有限公司,北京-海淀区,2.5-4.5万/月,06-19,25000.0,45000.0,北京市,北京,海淀区
技术工程部-应用业务运维工程师,北京搜狗科技发展有限公司,北京-海淀区,1.8-3万/月,06-19,18000.0,30000.0,北京市,北京,海淀区
技术支撑平台-高级服务端开发工程师,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,06-19,20000.0,40000.0,北京市,北京,海淀区
运维自动化-资深C语言开发,北京搜狗科技发展有限公司,北京-海淀区,3-4万/月,06-19,30000.0,40000.0,北京市,北京,海淀区
CN&JP　Interpreter / translator,迅销（中国）商贸有限公司,上海-徐汇区,0.5-1万/月,06-19,5000.0,10000.0,上海市,上海,徐汇区
Java高级开发工程师,广州海格星航信息科技有限公司,广州-黄埔区,1.5-2.5万/月,06-19,15000.0,25000.0,广东省,广州,黄埔区
Golang后端开发工程师(外包),浙江大华技术股份有限公司,杭州-滨江区,0.8-2万/月,06-19,8000.0,20000.0,浙江省,杭州,滨江区
架构师,浙江大华技术股份有限公司,西安,2.5-5万/月,06-19,25000.0,50000.0,陕西省,西安,
数据中台服务端开发实习生,网易集团,广州-天河区,3-4.5千/月,06-19,3000.0,4500.0,广东省,广州,天河区
系统运维工程师（20届校招投递）,网易集团,广州,1-1.5万/月,06-19,10000.0,15000.0,广东省,广州,
游戏测评工程师,网易集团,广州-天河区,0.7-1.2万/月,06-19,7000.0,12000.0,广东省,广州,天河区
数据库开发高级工程师（南京）,中移物联网有限公司,南京,1-1.5万/月,06-19,10000.0,15000.0,江苏省,南京,
区块链开发工程师,中移物联网有限公司,重庆-渝北区,0.8-1万/月,06-19,8000.0,10000.0,重庆市,重庆,渝北区
区块链开发工程师,中移物联网有限公司,北京-西城区,1-1.5万/月,06-19,10000.0,15000.0,北京市,北京,西城区
运维开发工程师（监控维护）,中移物联网有限公司,重庆-渝北区,0.8-1.2万/月,06-19,8000.0,12000.0,重庆市,重庆,渝北区
运维开发工程师-数字化产品部,中移物联网有限公司,重庆-渝北区,0.8-1.2万/月,06-19,8000.0,12000.0,重庆市,重庆,渝北区
Finance Controlling Supervisor财务控制主管,蒂森克虏伯转向系统（常州）thyss...,常州-新北区,1-1.8万/月,06-19,10000.0,18000.0,江苏省,常州,新北区
PAAS服务,神州数码信息服务股份有限公司,西安-雁塔区,1-2万/月,06-19,10000.0,20000.0,陕西省,西安,雁塔区
高级Java开发（正信银行）,神州数码信息服务股份有限公司,上海-黄浦区,1.3-1.7万/月,06-19,13000.0,17000.0,上海市,上海,黄浦区
产品经理助理实习生,完美世界（上海）/完美时空,上海,3.5-4千/月,06-19,3500.0,4000.0,上海市,上海,
Linux开发工程师,完美世界（北京）总部/完美时空,北京-朝阳区,2.5-3万/月,06-19,25000.0,30000.0,北京市,北京,朝阳区
Linux高级开发工程师（主机安全产品）,完美世界（北京）总部/完美时空,北京-朝阳区,2.5-3万/月,06-19,25000.0,30000.0,北京市,北京,朝阳区
测试工程师（外挂）,完美世界（上海）/完美时空,上海,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,
产品经理助理实习生,完美世界（上海）/完美时空,上海,3.9-4千/月,06-19,3900.0,4000.0,上海市,上海,
高级安全开发工程师,完美世界（北京）总部/完美时空,北京-朝阳区,1.5-2万/月,06-19,15000.0,20000.0,北京市,北京,朝阳区
电竞产品经理,完美世界（北京）总部/完美时空,北京,2.5-3万/月,06-19,25000.0,30000.0,北京市,北京,
1121XX-高级/资深容器研发运维工程师,平安科技（深圳）有限公司,深圳-南山区,2-2.5万/月,06-19,20000.0,25000.0,广东省,深圳,南山区
11316S-容器平台运维工程师（深圳）,平安科技（深圳）有限公司,深圳-南山区,20-30万/年,06-19,16666.0,25000.0,广东省,深圳,南山区
11316M-容器云开发工程师,平安科技（深圳）有限公司,南京-雨花台区,2-2.5万/月,06-19,20000.0,25000.0,江苏省,南京,雨花台区
113127-大数据开发岗,平安科技（深圳）有限公司,深圳-南山区,40-50万/年,06-19,33333.0,41666.0,广东省,深圳,南山区
11316J-云存储工程师,平安科技（深圳）有限公司,深圳-南山区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,南山区
11316H-云存储研发专家,平安科技（深圳）有限公司,北京-朝阳区,3-4万/月,06-19,30000.0,40000.0,北京市,北京,朝阳区
11315X-容器实例产品开发,平安科技（深圳）有限公司,深圳-南山区,30-40万/年,06-19,25000.0,33333.0,广东省,深圳,南山区
113157-应用平台运维开发工程师（深圳）,平安科技（深圳）有限公司,深圳-南山区,20-30万/年,06-19,16666.0,25000.0,广东省,深圳,南山区
1131BL-资深容器服务研发工程师,平安科技（深圳）有限公司,北京-朝阳区,30-40万/年,06-19,25000.0,33333.0,北京市,北京,朝阳区
113132-资深云存储工程师,平安科技（深圳）有限公司,成都-锦江区,2-2.5万/月,06-19,20000.0,25000.0,四川省,成都,锦江区
1131AQ-资深Golang运维开发工程师,平安科技（深圳）有限公司,深圳-南山区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,南山区
1131AA-高级开发工程师（边缘计算）,平安科技（深圳）有限公司,上海-徐汇区,30-40万/年,06-19,25000.0,33333.0,上海市,上海,徐汇区
Sr BIOS Engineer/BIOS Lead,超威半导体（中国）有限公司,上海-浦东新区,2-4万/月,06-19,20000.0,40000.0,上海市,上海,浦东新区
DV Manager验证经理,超威半导体（中国）有限公司,上海-浦东新区,3.8-4.5万/月,06-19,38000.0,45000.0,上海市,上海,浦东新区
PCIE IP Verification Engineer,超威半导体（中国）有限公司,上海-浦东新区,2.2-2.8万/月,06-19,22000.0,28000.0,上海市,上海,浦东新区
PCIE Architect,超威半导体（中国）有限公司,北京,4.8-5.5万/月,06-19,48000.0,55000.0,北京市,北京,
PCIE Architect,超威半导体（中国）有限公司,上海-浦东新区,4.8-5.5万/月,06-19,48000.0,55000.0,上海市,上海,浦东新区
Software Engineer-Power Management,超威半导体（中国）有限公司,上海-浦东新区,2.2-3.5万/月,06-19,22000.0,35000.0,上海市,上海,浦东新区
Software Engineer-I/O related,超威半导体（中国）有限公司,上海-浦东新区,2.2-3.5万/月,06-19,22000.0,35000.0,上海市,上海,浦东新区
Senior Account Sales 3479172,GE医疗集团,广州,0.8-1万/月,06-19,8000.0,10000.0,广东省,广州,
Manager (Business Marketing) - Marketing & Communications _ Shanghai,PwC 普华永道,上海,3-4万/月,06-19,30000.0,40000.0,上海市,上海,
Technical Solution Support Engineer -English,Hewlett Packard Enterprise,广州,15-25万/年,06-19,12500.0,20833.0,广东省,广州,
Senior Regional Buyer,Hewlett Packard Enterprise,上海-浦东新区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,浦东新区
非现场检查岗(006375),中信银行信用卡中心,深圳-福田区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,福田区
